geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12.4,7.48,0,11,9.54,10.1,8.3,5.21,11.8,8.45,8.69,8.38,9.52,7.94,8.15,9.05,8.11,7.44,8.32,7.78,8.87,8.45,8.3,7.46,9.03,5.42,4.93,4.23,3.96,4.91,4.37,4.83,4.65
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584,1.42,3.88,6.46,7.23,10.4,10.6,11.2,10.4,12.9,15,13,11.3,12.1,11.6,9.15,6.23,5.38,5.76,16.7,19.3,13.1,10.9,9.09,7.86,6.24,7.42,6.19
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2.72,0,0,0,0,0,1.81,0,0,0,0,0,0,0,1.65,0,0,0,
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,4.1,3.33,0,0,0,0,0,4.29,0,0,4.93,0,3.7,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77,2.57,2.83,3.11,2.52,1.48,2.27,4.42,7.08,8.21,6.6,4.77,5.23,5.38,5.54,5.25,5.34,5.98,5.71,4.93,3.15,3.48,7.82,13.3,17.8,17.8,17.8,15.6,14.8,12.9,11,10.3,9.86,10.7,11,10.2,8.17,7.38,6.54,6.07,8.89,9.09,8.41,8.28,8.82,9.33,9.88,9.04,8.87
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,1.7,1.59,1.71,2.86,3,3.45,3.79,4.2,4.23,5.28,5.99,6.09,7.64,8.49,8.68,8.65,8.17,7.31,7.17,7.16,8.09,9.61,11,9.98,10.6,11,10.4,10.4,8.53,7,7.77,7.59,8.08,7.81,7.86,7.27,6.72,8.68,8.69,8.53,9.44,10,10.5,10.8,10.2,9.45
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,14.4,0,0,0,0,0,0,
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73,0,0,0,0,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,15.3,11.1,11.6,14,11.5,13.4,14.8,15.2,13.9,16.8,18.1,17.9,16.7,16.1,16.5,14,13.4,14.2,
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,5.66,5.83,5.54,6.09,5.27,4.54,4.04,4.42,4.91,6.46,7.54,7.05,8.24,9.31,9.29,8.56,7.64,7.77,8.7,10.2,11.3,11.4,10.3,8.54,7.42,8.1,7.37,6.03,5.55,5.5,5.28,4.97,4.45,4.12
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,1.4,1.1,1.2,1.3,1.3,1.2,1.3,1.2,1.5,1.3,0.9,0.9,0.6,0.7,0.8,0,0,0,0,0,3.7,0,0,0,0,0,7.5,9.4,10.1,0,0,0,0,0,4.5,0,0,0,4.85,0,0,1.97,0,7.04,0,
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,4.79,5.81,5.98,5.64,5.04,5.12,4.84,4.58,4.25,4.76,4.91,5.67,6.01,6.2,6.02,6.23,7.11,7.69,7.44,6.91,6.43,6.03,6.41,6.22,5.69,5.24,5.13,6.97,10,15.1,21.5,24.5,23.6,21.7,19.9,17.8
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,0,0,18.5,0,9.98,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,2.29,0,0,0,0,1.83,0,1.55,0,2.47,0,0,0,0,0,0,0,2.51,1.37,1.3,2.45,2.46,2.75,0,1.64,0,0,0,3.3,2.86,2.37,2.67,2.36,1.99,2.23,
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,23.4,0,0,0,14.9,0,0,0,0,11.5,0,0,0,0,
