geo,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,12.3,14.9,17.7,14.8,16.8,10.2,11,0,0,0,0,10.9,17.9,21.2,17.2,22.5,23,23.9,20.4,19.8,19.8,19.3,22.7,22.1,23.8,23.3,24.3,24.3,23.9,18.4,18.9,22.4,22.1,22.4,24,24.2,24,24.8,23.6,
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7,0,0,0,0,24.4,10.3,0,7.09,6.83,9.8,6.58,3.36,6.84,6.43,5.88,6.48,5.32,5.78,4.45,3.74,5.22,3.22,3.2,3.42,4.8,3.9,3.73,3.63,4.93,4.16,3.41,3.3,3.33,3.14,3.47,3.85,4
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695,1.53,3.46,6.64,7.93,8.86,9.23,9.54,8.51,10.1,11.6,13.2,8.68,10.4,8.83,6.91,5.59,3.76,5.14,10.3,14.1,11.6,9.1,8.16,6.81,6.13,6.07,5.3
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,5.06,0,0,0,0,0,3.25,0,0,0,0,0,0,0,2.94,0,0,0,
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,6,5.16,0,0,0,0,0,4.62,0,0,8.51,0,5.54,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.04,1.54,1.67,2.38,1.85,2.02,2.93,4.97,6.08,5.72,4.95,4.81,5.17,5.31,4.97,4.07,4.58,4.36,3.95,3.12,2.6,5.03,9.65,14.4,14.9,16.2,15.6,15.2,13.6,12.4,12,10.8,10.2,9.94,10.6,8.61,8.08,7.19,6.69,7.57,7.64,7.1,7.05,7.52,7.95,8.84,8.58,8.39
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,4.61,4.52,4.78,6.08,6.81,7.45,7.55,8.99,9.93,11.1,11.6,10.5,12.1,12.6,12.3,13.5,12.8,12.6,12.2,11.6,12.8,13.4,14.5,14.1,14.5,14.4,14.1,13.9,12.2,10.5,9.8,9.13,9.88,9.27,9.11,8.09,7.44,8.8,9.07,9.12,9.36,9.79,10,9.88,9.85,9.34
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,22.4,0,0,0,0,28.5,0,0,0,0,0,0,
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,12.2,10.5,10.7,11,11.5,11.8,12.7,11.7,12.6,16.1,15.4,14.4,13.2,13.8,12.3,10.4,10.2,8.85,
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53,8.24,8.47,8.23,7.92,7.9,7.47,6.12,6.53,8.23,9.32,10.3,9.63,9.59,10.6,10.4,9.24,8.27,7.78,8.21,9.28,10.1,10.9,10.2,8.79,7.65,7.31,6.5,5.58,5.18,4.92,4.63,4.22,3.74,3.31
